bise 鼻塞
bishan 鼻煽
biweifeiqiao 鼻为肺窍
bixie 萆薢
bixiefenqingyin 萆薢分清饮
biyuan 鼻渊
biyusan 碧玉散
bizheng 痹证
bizhi 鼻窒
bizhu 鼻柱
bizhuixing 鼻赘型
bizu 痹阻 闭阻
bogudan 驳骨丹
bohe 薄荷
bohenao 薄荷脑
boheyou 薄荷油
bojie 搏结
bojuebing 薄厥病
botai 剥苔
bubuzu 补不足
budaiwan 布袋丸
bufa 补法
bufei 补肺
bufeiejiaotang 补肺阿胶汤
bugantang 补肝汤
buguzhi 补骨脂
buhuanjinzhengqisan 不换金正气散
bujie 卜芥
bulang 步廊
bumei 不寐
bupihewei 补脾和胃
buqi 补气
buqigushe 补气固摄
buqigutuo 补气固脱
buqihuashi 补气化湿
buqipeiyuan 补气培元
buqiyangxue 补气养血
burong 不容
bushen 补肾
bushenantai 补肾安胎
bushenfuyuan 补肾扶元
bushenjianpi 补肾健脾
bushennaqi 补肾纳气
bushenrougan 补肾柔肝
buxiejianshi 补泻兼施
buxin 补心
buxue 补血
buxueyangxin 补血养心
buyang 补阳
buyanghuanwutang 补阳还五汤
buyiji 补益剂
buyin 补阴
buyipishen 补益脾肾
buyu 不育
buyue 不月
buyun 不孕
buzhaye 布渣叶
buzhongpeizhong 补中培中
buzhongyiqitang 补中益气汤
caifuzi 菜菔子
candouhuang 蚕豆黄
cangbai 苍白
cangchangpu 藏菖蒲
cangerzi 苍耳子
cangerzisan 苍耳子散
cangfudaotanwan 苍附导痰丸
canglinwan 仓廪丸
cangtongshisi 藏统失司
cangzhu 苍术
cansha 蚕砂
canshi 蚕矢
canshitang 蚕矢汤
caodoukou 草豆蔻
caoguo 草果
caohongteng 草红藤
caomeishe 草莓舌
caosu 糙苏
caowu 草乌
caowuye 草乌叶
caoxuejie 草血竭
caoza 嘈杂
cebai 侧柏
cebaiye 侧柏叶
ceboye 侧伯叶
chaigegen 柴葛根
chaigejiejitang 柴葛解肌汤
chaihu 柴胡
chaihubaihutang 柴胡白虎汤
chaihudayuanyin 柴胡达原饮
chaihuguizhiganjiangtang 柴胡桂枝干姜汤
chaihuguizhitang 柴胡桂枝汤
chaihujialonggumulitang 柴胡加龙骨牡蛎汤
chaihujiamangxiaotang 柴胡加芒硝汤
chaihuqinggantang 柴胡清肝汤
chaihuqingzaotang 柴胡清燥汤
chaihushugansan 柴胡疏肝散
chaihusiwutang 柴胡四物汤
chaihuxianxiongtang 柴胡陷胸汤
chaihuzhijutang 柴胡枳桔汤
chaipingtang 柴平汤
chanbing 颤病
changai 肠癌
changbi 肠痹
changchunhua 长春花
changdaoqizhi 肠道气滞
changdaoshire 肠道实热 肠道湿热
changfeng 肠风
changfengshangluo 肠风伤络
changjie 肠结
changlao 肠痨
changliu 肠瘤
changmai 常脉 长脉
changpi 肠辟
changpu 菖蒲
changqiang 长强
changqiyizhu 长期医嘱
changshan 常山
changweishire 肠胃实热 肠胃湿热
changxuhuatuo 肠虚滑脱
changyekuisun 肠液亏损
changyong 肠痈
changyu 肠郁
changzaobianmi 肠燥便秘
changzaojinshang 肠燥津伤
changzhu 长嘱
chanhoubaixueshangchongzheng 产后败血上冲证
chanhoubing 产后病
chanhoudabiannan 产后大便难
chanhouelubujue 产后恶露不绝
chanhouelubuxia 产后恶露不下
chanhoufare 产后发热
chanhoufeng 缠喉风
chanhoufutong 产后腹痛
chanhouhanbing 产后汗病
chanhoujingbing 产后痉病
chanhouniaoxiebing 产后尿血病
chanhouquerubing 产后缺乳病
chanhouruzhizichu 产后乳汁自出
chanhoushentongbing 产后身痛病
chanhouxiaobianbutong 产后小便不通
chanhouxiaobianlinli 产后小便淋沥
chanhouxiaobianpinshuo 产后小便频数
chanhouxuebengbing 产后血崩病
chanhouxueyunbing 产后血晕病
chanhouyifenbing 产后遗粪病
chanhouyiniaobing 产后遗尿病
chanhouzihandaohan 产后自汗盗汗
chankuxingren 燀苦杏仁
chanmen 产门
chansu 蟾酥
chantui 蝉蜕
chanyi 蝉衣
chaobaibiandou 炒白扁豆
chaobaishao 炒白芍
chaobaizhu 炒白术
chaobiandou 炒扁豆
chaocangerzi 炒苍耳子
chaochongweizi 炒茺蔚子
chaochuanlianzi 炒川楝子
chaochushizi 炒楮实子
chaodanpi 炒丹皮
chaodaoya 炒稻芽
chaofengfang 炒蜂房
chaogualouzi 炒瓜蒌子
chaoguya 炒谷芽
chaohong 潮红
chaohuangbai 炒黄柏
chaohuomaren 炒火麻仁
chaojiezi 炒芥子
chaojili 炒蒺藜
chaojineijin 炒鸡内金
chaojuemingzi 炒决明子
chaolaifu 炒莱菔
chaolaifuzi 炒莱菔子
chaomaiya 炒麦芽
chaomanjingzi 炒蔓荆子
chaomeiyao 炒没药
chaomiren 炒米仁
chaonanheshi 炒南鹤虱
chaoneijin 炒内金
chaoniubangzi 炒牛蒡子
chaopuhuang 炒蒲黄
chaoqianniuzi 炒牵牛子
chaoqingxiangzi 炒青葙子
chaore 潮热
chaoruxiang 炒乳香
chaosanxian 炒三仙
chaosanxiao 炒三消
chaoshanwei 炒山桅
